Prefecture;CodeVille
Bourg-en-Bresse;3031009
Laon;3007477
Moulins;2991481
Digne-les-Bains;3021382
Gap;3016702
Nice;2990440
Privas;2985290
Charleville-Mezieres;3026613
Foix;3018174
Troyes;2971549
Carcassonne;3028641
Rodez;2983154
Marseille;2995469
Caen;3029241
Aurillac;3036016
Angouleme;3037598
La Rochelle;3006787
Bourges;3031005
Tulle;2971482
Ajaccio;3038334
Bastia;3034640
Dijon;3021372
Saint-Brieuc;2981280
Gueret;30014383
Perigueux;2987967
Besancon;3033123
Valence;2971053
Evreux;3019265
Chartres;3026467
Quimper;2984701
Nimes;2990363
Toulouse;2972315
Auch;3036281
Bordeaux;3031582
Montpellier;2992166
Rennes;2983990
Chateauroux;3026204
Tours;2972191
Grenoble;3014728
Lons-le-Saunier;2997626
Mont-de-Marsan;2992771
Blois;3032213
Saint-Etienne;2980291
Le Puy-en-Velay;3002465
Nantes;2990969
Orleans;2989317
Cahors;3029213
Agen;3038634
Mende;2994617
Angers;2994617
Saint-Lo;2978758
Chalons-en-Champagne;3027487
Chaumont;3025892
Laval;3005866
Nancy;2990999
Bar-le-Duc;3034911
Vannes;2970777
Metz;2994160
Nevers;2990474
Lille;2998324
Beauvais;3034006
Alencon;3038230
Arras;3036784
Clermont-Ferrand;3024635
Pau;2988358
Tarbes;2973385
Perpignan;2987914
Strasbourg;2973783
Colmar;3024297
Lyon;2996944
Vesoul;2969562
Macon;2996882
Le Mans;3003603
Chambery;3003603
Annecy;3037543
Paris;2988507
Rouen;2982652
Melun;2994651
Versailles;2969679
Niort;2990355
Amiens;3037854
Albi;3038261
Montauban;2993002
Toulon;2972328
Avignon;3035681
La Roche-sur-Yon;3006767
Poitiers;2986495
Limoges;2998286
Epinal;3020035
Auxerre;3020035
Belfort;3033791
Evry-Courcouronnes;3019256
Nanterre;2990970
Bobigny;3032179
Creteil;3022530
Cergy;3027883
Basse-Terre;3575551
Fort-de-France;3570675
Cayenne;3382160
Saint-Denis;2980916
Mamoudzou;921815
